M:StockSharp.Algo.ContinuousSecurityVolumeProcessor.CanProcess(StockSharp.Messages.SecurityId,System.DateTimeOffset,System.Nullable{System.Decimal},System.Nullable{System.Decimal},System.Nullable{System.Decimal})/inheritdoc;DocStr8459
T:StockSharp.Algo.IndexSecurityBaseProcessor`1/summary;DocStr10624
T:StockSharp.Algo.IndexSecurityBaseProcessor`1/typeparam/TBasketSecurity;DocStr10619
M:StockSharp.Algo.IndexSecurityBaseProcessor`1.#ctor(StockSharp.BusinessEntities.Security)/summary;DocStr1
M:StockSharp.Algo.IndexSecurityBaseProcessor`1.#ctor(StockSharp.BusinessEntities.Security)/param/security;DocStr2831
M:StockSharp.Algo.IndexSecurityBaseProcessor`1.Process(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.IndexSecurityBaseProcessor`1.OnCalculate(System.Decimal[])/summary;DocStr1113
M:StockSharp.Algo.IndexSecurityBaseProcessor`1.OnCalculate(System.Decimal[])/param/values;DocStr1114
M:StockSharp.Algo.IndexSecurityBaseProcessor`1.OnCalculate(System.Decimal[])/returns;DocStr1115
T:StockSharp.Algo.WeightedIndexSecurityProcessor/summary;DocStr10625
M:StockSharp.Algo.WeightedIndexSecurityProcessor.#ctor(StockSharp.BusinessEntities.Security)/summary;DocStr1
M:StockSharp.Algo.WeightedIndexSecurityProcessor.#ctor(StockSharp.BusinessEntities.Security)/param/security;DocStr2831
M:StockSharp.Algo.WeightedIndexSecurityProcessor.OnCalculate(System.Decimal[])/inheritdoc;DocStr8459
T:StockSharp.Algo.BasketSecurityMessageAdapter/summary;DocStr10598
M:StockSharp.Algo.BasketSecurityMessageAdapter.#ctor(StockSharp.BusinessEntities.ISecurityProvider,StockSharp.Messages.IBasketSecurityProcessorProvider,StockSharp.Algo.Storages.IExchangeInfoProvider,StockSharp.Messages.IMessageAdapter)/summary;DocStr1
M:StockSharp.Algo.BasketSecurityMessageAdapter.#ctor(StockSharp.BusinessEntities.ISecurityProvider,StockSharp.Messages.IBasketSecurityProcessorProvider,StockSharp.Algo.Storages.IExchangeInfoProvider,StockSharp.Messages.IMessageAdapter)/param/securityProvider;DocStr972
M:StockSharp.Algo.BasketSecurityMessageAdapter.#ctor(StockSharp.BusinessEntities.ISecurityProvider,StockSharp.Messages.IBasketSecurityProcessorProvider,StockSharp.Algo.Storages.IExchangeInfoProvider,StockSharp.Messages.IMessageAdapter)/param/processorProvider;DocStr10597
M:StockSharp.Algo.BasketSecurityMessageAdapter.#ctor(StockSharp.BusinessEntities.ISecurityProvider,StockSharp.Messages.IBasketSecurityProcessorProvider,StockSharp.Algo.Storages.IExchangeInfoProvider,StockSharp.Messages.IMessageAdapter)/param/exchangeInfoProvider;DocStr9509
M:StockSharp.Algo.BasketSecurityMessageAdapter.#ctor(StockSharp.BusinessEntities.ISecurityProvider,StockSharp.Messages.IBasketSecurityProcessorProvider,StockSharp.Algo.Storages.IExchangeInfoProvider,StockSharp.Messages.IMessageAdapter)/param/innerAdapter;DocStr8563
M:StockSharp.Algo.BasketSecurityMessageAdapter.SendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.BasketSecurityMessageAdapter.OnInnerAdapterNewOutMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.BasketSecurityMessageAdapter.Clone/inheritdoc;DocStr8459
T:StockSharp.Algo.BasketSecurityProcessorProvider/summary;DocStr10597
M:StockSharp.Algo.BasketSecurityProcessorProvider.#ctor/summary;DocStr1
T:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor/summary;DocStr10374
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.#ctor(StockSharp.Messages.MarketDataMessage,StockSharp.Algo.Candles.Compression.TimeFrameCandleBuilder)/summary;DocStr1
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.#ctor(StockSharp.Messages.MarketDataMessage,StockSharp.Algo.Candles.Compression.TimeFrameCandleBuilder)/param/subscription;DocStr4473
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.#ctor(StockSharp.Messages.MarketDataMessage,StockSharp.Algo.Candles.Compression.TimeFrameCandleBuilder)/param/builder;DocStr505
P:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.Subscription/summary;DocStr4473
P:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.CurrentCandle/summary;DocStr496
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.Reset/summary;Str3282
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.Process(StockSharp.Messages.CandleMessage)/summary;DocStr486
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.Process(StockSharp.Messages.CandleMessage)/param/message;DocStr4058
M:StockSharp.Algo.Candles.BiggerTimeFrameCandleCompressor.Process(StockSharp.Messages.CandleMessage)/returns;DocStr9654
T:StockSharp.Algo.Candles.CandlesHolder/summary;DocStr10331
T:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder/summary;DocStr10328
M:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.#ctor(StockSharp.Algo.Candles.CandleSeries)/summary;DocStr1
M:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.#ctor(StockSharp.Algo.Candles.CandleSeries)/param/series;CandlesSeries
P:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.Series/summary;CandlesSeries
M:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/summary;DocStr10329
M:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/param/message;Str3166
M:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/param/candle;DocStr10330
M:StockSharp.Algo.Candles.CandlesHolder.CandlesSeriesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/returns;CandlesSeries
P:StockSharp.Algo.Candles.CandlesHolder.AllCandleSeries/summary;DocStr10375
M:StockSharp.Algo.Candles.CandlesHolder.Clear/summary;DocStr9626
M:StockSharp.Algo.Candles.CandlesHolder.CreateCandleSeries(System.Int64,StockSharp.Algo.Candles.CandleSeries)/summary;DocStr10332
M:StockSharp.Algo.Candles.CandlesHolder.CreateCandleSeries(System.Int64,StockSharp.Algo.Candles.CandleSeries)/param/transactionId;DocStr3166
M:StockSharp.Algo.Candles.CandlesHolder.CreateCandleSeries(System.Int64,StockSharp.Algo.Candles.CandleSeries)/param/series;CandlesSeries
M:StockSharp.Algo.Candles.CandlesHolder.RemoveCandleSeries(System.Int64)/summary;DocStr10333
M:StockSharp.Algo.Candles.CandlesHolder.RemoveCandleSeries(System.Int64)/param/transactionId;DocStr3166
M:StockSharp.Algo.Candles.CandlesHolder.RemoveCandleSeries(System.Int64)/returns;CandlesSeries
M:StockSharp.Algo.Candles.CandlesHolder.TryGetTransactionId(StockSharp.Algo.Candles.CandleSeries)/summary;DocStr10334
M:StockSharp.Algo.Candles.CandlesHolder.TryGetTransactionId(StockSharp.Algo.Candles.CandleSeries)/param/series;CandlesSeries
M:StockSharp.Algo.Candles.CandlesHolder.TryGetTransactionId(StockSharp.Algo.Candles.CandleSeries)/returns;DocStr3166
M:StockSharp.Algo.Candles.CandlesHolder.TryGetCandleSeries(System.Int64)/summary;DocStr10335
M:StockSharp.Algo.Candles.CandlesHolder.TryGetCandleSeries(System.Int64)/param/transactionId;DocStr3166
M:StockSharp.Algo.Candles.CandlesHolder.TryGetCandleSeries(System.Int64)/returns;DocStr10336
M:StockSharp.Algo.Candles.CandlesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/summary;DocStr10329
M:StockSharp.Algo.Candles.CandlesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/param/message;Str3166
M:StockSharp.Algo.Candles.CandlesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/param/candle;DocStr10330
M:StockSharp.Algo.Candles.CandlesHolder.UpdateCandle(StockSharp.Messages.CandleMessage,StockSharp.Algo.Candles.Candle@)/returns;CandlesSeries
T:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter/summary;DocStr9649
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.#ctor(StockSharp.Messages.IMessageAdapter,StockSharp.Algo.Candles.Compression.CandleBuilderProvider)/summary;DocStr1
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.#ctor(StockSharp.Messages.IMessageAdapter,StockSharp.Algo.Candles.Compression.CandleBuilderProvider)/param/innerAdapter;DocStr9208
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.#ctor(StockSharp.Messages.IMessageAdapter,StockSharp.Algo.Candles.Compression.CandleBuilderProvider)/param/candleBuilderProvider;DocStr10629
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.SendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.OnInnerAdapterNewOutMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.Clone/summary;DocStr643
M:StockSharp.Algo.Candles.Compression.CandleBuilderMessageAdapter.Clone/returns;DocStr1116
T:StockSharp.Algo.Candles.Compression.CandleBuilderProvider/summary;DocStr10629
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/summary;DocStr1
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.#ctor(StockSharp.Algo.Storages.IExchangeInfoProvider)/param/exchangeInfoProvider;DocStr8927
P:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.ExchangeInfoProvider/summary;DocStr8927
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.IsRegistered(StockSharp.Messages.MarketDataTypes)/summary;DocStr10634
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.IsRegistered(StockSharp.Messages.MarketDataTypes)/param/type;Str1670
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.IsRegistered(StockSharp.Messages.MarketDataTypes)/returns;DocStr10635
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.Get(StockSharp.Messages.MarketDataTypes)/summary;DocStr10630
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.Get(StockSharp.Messages.MarketDataTypes)/param/type;Str1670
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.Get(StockSharp.Messages.MarketDataTypes)/returns;DocStr9669
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.Register(StockSharp.Algo.Candles.Compression.ICandleBuilder)/summary;DocStr10632
M:StockSharp.Algo.Candles.Compression.CandleBuilderProvider.Register(StockSharp.Algo.Candles.Compression.ICandleBuilder)/param/builder;DocStr9669
