Transaction;Transaction;Транзакция
TransactionId;Transaction ID.;Номер транзакции.
OriginalTrasaction;Original transaction;Первоначальная транзакция
OriginalTrasactionId;ID of original transaction, for which this message is the answer.;Номер первоначальной транзакции, для которой данное сообщение является ответом.
DataType;Data type;Тип данных
Str110;Data type, information about which is contained in the message.;Тип данных, информация о которых содержится в сообщении.
Cancel;Cancel;Отмена
IsActionOrderCancellation;Is the action an order cancellation.;Является ли действие отменой заявки.
OrderId;Order ID;Идентификатор заявки
OrderIdString;Order ID (string);Идентификатор заявки (строка)
OrderIdStringDesc;Order ID (as string, if electronic board does not use numeric order ID representation).;Идентификатор заявки (ввиде строки, если электронная площадка не использует числовое представление идентификатора заявки).
Str117;Order ID (board);Идентификатор заявки (площадка)
Str118;Electronic board order ID.;Идентификатор заявки электронной площадки.
Derived;Derived;Производная
DerivedOrderId;Derived order ID (e.g., conditional order generated a real stock exchange order).;Идентификатор производной заявки (например, условная заявка сгенерировала реальную биржевую).
DerivedString;Derived (string);Производная (строка)
DerivedStringDesc;Derived order ID (string value).;Идентификатор производной заявки (строковое значение).
Price;Price;Цена
OrderPrice;Order price.;Цена заявки.
OrderVolume;Number of contracts in an order.;Количество контрактов в заявке.
VisibleVolume;Visible volume;Видимый объем
Str127;Visible quantity of contracts in order.;Видимое количество контрактов в заявке.
Str128;Direction;Направление
Str129;Order direction (buy or sell).;Направление заявки (покупка или продажа).
Str130;Remainder;Остаток
Str131;Order contracts remainder.;Остаток контрактов в заявке.
Str132;Order type;Тип заявки
Str133;Order type (Limit, Market, Stop-order etc.).;Тип заявки (Лимитированная, Рыночная, Стоп-заявка и т.д.).
Str134;Order state (Active, Not active, Error).;Состояние заявки (Активна, Не активна, Ошибка).
Str135;Comment;Комментарий
Str136;Placed order comment.;Комментарий к выставляемой заявке.
Str137;Message for order;Сообщение к заявке
Str138;Message for order (created by the trading system when registered, changed or cancelled).;Сообщение к заявке (создается торговой системой при регистрации, изменении или снятии).
Str139;System order;Системная заявка
Str140;Is a system trade.;Является ли заявка системной.
Str141;Order expiry time;Время экспирации заявки
Str142;Order expiration time.;Время истечения срока действия заявки.
Str143;Execution condition;Условие исполнения
Str144;Limit order execution condition.;Условие исполнения лимитированной заявки.
Str145;Trade ID.;Идентификатор сделки.
Str146;Trade ID (as string, if electronic board does not use numeric order ID representation).;Идентификатор сделки (ввиде строки, если электронная площадка не использует числовое представление идентификатора сделки).
Str147;Trade price.;Цена сделки.
Str148;Deal initiator;Инициатор сделки
Str149;Deal initiator (seller or buyer).;Инициатор сделки (продавец или покупатель).
Str150;Open interest;Открытый интерес
Str151;Number of open positions (open interest).;Количество открытых позиций (открытый интерес).
Str152;Error;Ошибка
Str153;Error registering/cancelling order.;Ошибка регистрации/отмены заявки.
Str154;Condition;Условие
Str155;Order condition (e.g., stop- and algo- orders parameters).;Условие заявки (например, параметры стоп- или алго- заявков).
Str156;Conditional order;Условная заявка
Str157;Uptrend;Восходящий тренд
Str158;Is tick ascending or descending in price.;Является ли тик восходящим или нисходящим в цене.
Str159;Commission;Комиссия
Str160;Comission (broker, stock exchange etc.).;Комиссия (брокерская, биржевая и т.д.).
Str161;Latency;Задержка
Str162;Netework latency.;Сетевая задержка.
Str163;Slippage;Проскальзывание
Str164;Slippage in trade price.;Проскальзывание в цене сделки.
Str165;Number (extra);Номер (доп.)
Str166;User's order ID.;Пользовательский идентификатор заявки.
General;General;Основные
Str168;Change server time.;Серверное время изменения.
Str169Params;Current process bit-width is not compatible with adapter {0}. Recompile under {1}.;Текущая разрядность процесса не совместима с адаптером {0}. Необходимо перекомпилировать под {1}.
Str170;Connection was not established in allowed time.;Подключение не было установлено в отведенный отрезок времени.
Str171;Connection was not broken in allowed time.;Подключение не было разорвано в отведенный отрезок времени.
Str172;Reconnection settings;Настройки переподключения
Str173;Connection and export settings.;Настройки для подключения или экспорта.
Str174;Connection;Подключение
Str175;Interval;Интервал
Str176;Interval, with which there will be attempts to establish a connection.;Интервал, с которым будут происходить попытки подключения.
Str177;Unsupported value.;Неподдерживаемое значение.
Str178;Initially;Первоначально
Str179;Number of attempts to reestablish the initial connection, if it was not reestablished (timeout, network failure etc.).;Количество попыток установить первоначальное соединение, если оно не было установлено (тайм-аут, сетевой сбой и т.д.).
Str180;Reconnection;Переподключение
Str181;Number of attempts to reconnect, if the connection was lost during process.;Количество попыток переподключиться, если подключение было разорвано в процессе работы.
Str182;Waiting time;Время ожидания
Str183;Successful connection / disconnection waiting time.;Время ожидания успешного подключения/отключения.
Str184;Work mode;Режим работы
Str185;Work mode, during which connections must be established.;Режим работы, во время которого необходимо производить подключения.
Str186;Adapters;Адаптеры
Securities;Securities;Инструменты
MarketData;Market data;Маркет-данные
UseMarketDataSession;Use session to receive market-data.;Использовать сессию для получения маркет-данных.
Transactions;Transactions;Транзакции
UseTransactionalSession;Use session to send transactions.;Использовать сессию для отправки транзакций.
Str192;Control interval;Интервал контроля
